"","field","harvest_cycle","herd","acres_impacted","day_in","day_out","hay_in","hay_out","mow_in","cowharvest","hayharvest","harvest","sum","harvest_acres","sum_acres"
"57","GP5D",1,"brood",4.25,NA,1795.8,NA,NA,NA,NA,NA,0,3322,0,7059.25
"58","GP5D",2,"brood",4.25,4112,2451,NA,NA,NA,1661,NA,1661,3322,7059.25,7059.25
"59","GP5D",2,NA,0,NA,NA,NA,NA,2371.5,NA,NA,1661,3322,0,7059.25
"60","GP6A",1,"brood",8.69,3790,2768,NA,NA,NA,1022,NA,1022,3092,8881.18,17875.33
"61","GP6A",2,"brood",8.69,3551,2516,NA,NA,NA,1035,NA,1035,3092,8994.15,17875.33
"62","GP6A",2,NA,0,NA,NA,NA,NA,2516,NA,NA,1035,3092,0,17875.33
"63","GP6A",3,"brood",8.69,2728,NA,NA,NA,NA,NA,NA,0,3092,0,17875.33
"64","GP6A",4,"brood",8.69,NA,1746,NA,NA,NA,NA,NA,0,3092,0,17875.33
"65","GP6A",4,NA,8.69,NA,1746,NA,NA,NA,NA,NA,0,3092,0,17875.33
"66","GP6B",1,"brood",7.04,3020,1705,NA,NA,NA,1315,NA,1315,1315,9257.6,9257.6
"67","GP6C",1,"brood",6.51,2698,2248,NA,NA,NA,450,NA,450,3372,2929.5,17043.18
"68","GP6C",2,"brood",6.51,3916,3162,NA,NA,NA,754,NA,754,3372,4908.54,17043.18
"69","GP6C",2,NA,0,NA,NA,NA,NA,NA,NA,NA,754,3372,0,17043.18
"70","GP6C",3,"brood",6.51,3552,2138,NA,NA,NA,1414,NA,1414,3372,9205.14,17043.18
"71","GP7",1,"brood",18.8,3429.86666666667,1783,NA,NA,NA,1646.86666666667,NA,1646.86666666667,3791.86666666667,30961.0933333333,49180.4733333333
"72","GP7",2,"brood",6.83,4168,2922,NA,NA,NA,1246,NA,1246,3791.86666666667,8510.18,49180.4733333333
"73","GP7",3,"brood",10.8,3142,2243,NA,NA,NA,899,NA,899,3791.86666666667,9709.2,49180.4733333333
"74","GP7",4,"brood",10.8,2166,NA,NA,NA,NA,NA,NA,0,3791.86666666667,0,49180.4733333333
"75","GP8A",1,"brood",8.64,1829,1390,NA,NA,NA,439,NA,439,5056,3792.96,43683.84
"76","GP8A",2,"brood",8.64,4071,2012,NA,NA,NA,2059,NA,2059,5056,17789.76,43683.84
"77","GP8A",3,"brood",8.64,2558,0,NA,NA,NA,2558,NA,2558,5056,22101.12,43683.84
"78","GP8B",1,"brood",3.4,2320,2033,NA,NA,NA,287,NA,287,287,975.8,975.8
"79","GP8B",2,"hay",0,NA,NA,3217.8,NA,NA,NA,NA,0,287,0,975.8
"80","GP8C",1,"brood",3.75,NA,1914,NA,NA,NA,NA,NA,0,0,0,0
"81","Horse",1,"feeders",3.7,3776,2538.4,NA,NA,NA,1237.6,NA,1237.6,3385.4,4579.12,11222.96
"82","Horse",2,"feeders",3.7,4042,3342,NA,NA,NA,700,NA,700,3385.4,2590,11222.96
"83","Horse",3,"feeders",2.8,3375.8,1928,NA,NA,NA,1447.8,NA,1447.8,3385.4,4053.84,11222.96
"84","Jimmy's",1,"hay",3,NA,NA,3258,1574.6,NA,NA,1683.4,1683.4,1683.4,5050.2,5050.2
"85","Jimmy's",2,"hay",3,NA,NA,2712.2,NA,NA,NA,NA,0,1683.4,0,5050.2
"86","Lamson Hill",1,"hay",0,NA,NA,2649,NA,NA,NA,NA,0,0,0,0
"87","Lamson Middle",1,"hay",0,NA,NA,4308,NA,NA,NA,NA,0,0,0,0
"88","Lamson Middle",2,"hay",10,NA,NA,NA,2544,NA,NA,NA,0,0,0,0
"89","Lamson Middle",3,"hay",10,NA,NA,2791.2,NA,NA,NA,NA,0,0,0,0
"90","Lamson North",1,"hay",6,NA,NA,3344.2,2376,NA,NA,968.2,968.2,1920.2,5809.2,11521.2
"91","Lamson North",2,"hay",6,NA,NA,3188,2236,NA,NA,952,952,1920.2,5712,11521.2
"92","Leo's",1,"hay",7,NA,NA,4134.2,2292,NA,NA,1842.2,1842.2,3641.6,12895.4,25491.2
"93","Leo's",2,"hay",7,NA,NA,3881.4,2082,NA,NA,1799.4,1799.4,3641.6,12595.8,25491.2
"94","Leo's",3,NA,7,2838,NA,NA,NA,NA,NA,NA,0,3641.6,0,25491.2
"95","Leo's",4,"brood",7,NA,NA,NA,NA,NA,NA,NA,0,3641.6,0,25491.2
"96","Leos",1,"hay",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"97","Leos",2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"98","Leos",2,"hay",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"99","Long Meadow",1,"brood",13.22,5442,2600,NA,NA,NA,2842,NA,2842,2842,37571.24,37571.24
"100","Lower Barberry",1,"feeders",1.88,5750,2894,NA,NA,NA,2856,NA,2856,2856,5369.28,5369.28
"101","Lower Barberry",2,"feeders",1.88,4714,NA,NA,NA,NA,NA,NA,0,2856,0,5369.28
"102","Lower Barberry",2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2856,0,5369.28
"103","Lower Barberry",3,"feeders",1.88,3272,NA,NA,NA,NA,NA,NA,0,2856,0,5369.28
"104","Lower Home",1,"feeders",1.06,NA,NA,NA,NA,NA,NA,NA,0,378,0,400.68
"105","Lower Home",1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,378,0,400.68
"106","Lower Home",2,"feeders",1.06,NA,2152,NA,NA,NA,NA,NA,0,378,0,400.68
"107","Lower Home",3,"feeders",1.06,2390,2012,NA,NA,NA,378,NA,378,378,400.68,400.68
"108","Lower Sunset",1,"feeders",6,3902,2728,NA,NA,NA,1174,NA,1174,4215,7044,25290
"109","Lower Sunset",2,"hay",6,NA,NA,5809,2768,NA,NA,3041,3041,4215,18246,25290
"110","Lower Sunset",3,"feeders",6,3384,NA,NA,NA,NA,NA,NA,0,4215,0,25290
"111","Lower Triangle",1,"feeders",2.3,3344.2,1970,NA,NA,NA,1374.2,NA,1374.2,4234.2,3160.66,9738.66
"112","Lower Triangle",2,"feeders",2.3,4658,2333,NA,NA,NA,2325,NA,2325,4234.2,5347.5,9738.66
"113","Lower Triangle",3,"feeders",2.3,2465,1930,NA,NA,NA,535,NA,535,4234.2,1230.5,9738.66
"114","Lower Underhill",1,"feeders",2.31,6338,2980.8,NA,NA,NA,3357.2,NA,3357.2,4722.2,7755.132,10908.282
"115","Lower Underhill",2,"feeders",2.31,5568,4203,NA,NA,NA,1365,NA,1365,4722.2,3153.15,10908.282
"116","POW East",1,"hay",3.7,NA,NA,3524,1953.8,NA,NA,1570.2,1570.2,1570.2,5809.74,5809.74
"117","POW East",2,"hay",3.7,NA,NA,3407.4,NA,NA,NA,NA,0,1570.2,0,5809.74
"118","Plains",1,"hay",22,NA,NA,4840,2152,NA,NA,2688,2688,4163.6,59136,91599.2
"119","Plains",2,"hay",22,NA,NA,3865.6,2390,NA,NA,1475.6,1475.6,4163.6,32463.2,91599.2
"120","Plains",3,"brood",21.99,3062,NA,NA,NA,NA,NA,NA,0,4163.6,0,91599.2
"121","Plains Wet",0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"122","Plains Woods North",1,"brood",6.29,NA,3202,NA,NA,NA,NA,NA,0,0,0,0
"123","Playground",1,"hay",14,NA,NA,4102.6,2166,NA,NA,1936.6,1936.6,1936.6,27112.4,27112.4
"124","Playground",2,"brood",13.81,2600,NA,NA,NA,NA,NA,NA,0,1936.6,0,27112.4
"125","Pond",0,"feeders",0.8,4181.55,2670,NA,NA,NA,1511.55,NA,1511.55,3059.95,1209.24,5606.696
"126","Pond",1,"feeders",2.84,4244.8,2696.4,NA,NA,NA,1548.4,NA,1548.4,3059.95,4397.456,5606.696
"127","Pow East",1,"hay",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"128","Railroad",1,"feeders",1.87,4126,2810,NA,NA,NA,1316,NA,1316,2538.8,2460.92,4747.556
"129","Railroad",2,"feeders",1.87,3612.8,2390,NA,NA,NA,1222.8,NA,1222.8,2538.8,2286.636,4747.556
"130","Railroad",3,"feeders",1.87,3328,NA,NA,NA,NA,NA,NA,0,2538.8,0,4747.556
"131","Sunset Field",1,"feeders",1.97,2005.6,1508,NA,NA,NA,497.6,NA,497.6,1586.2,980.272,2144.542
"132","Sunset Field",1,NA,0,NA,NA,NA,NA,1543,NA,NA,497.6,1586.2,0,2144.542
"133","Sunset Field",2,"feeders",1.97,2936,2614,NA,NA,NA,322,NA,322,1586.2,634.34,2144.542
"134","Sunset Field",3,"feeders",1.97,3034,2765,NA,NA,NA,269,NA,269,1586.2,529.93,2144.542
"135","Sunset Hill",1,"feeders",4.55,2418,2084.5,NA,NA,NA,333.5,NA,333.5,5765.1,1517.425,24713.78
"136","Sunset Hill",1,NA,0,NA,NA,NA,NA,2111.8,NA,NA,333.5,5765.1,0,24713.78
"137","Sunset Hill",2,"feeders",4.55,4700,2572,NA,NA,NA,2128,NA,2128,5765.1,9682.4,24713.78
"138","Sunset Hill",3,"feeders",4.55,4546,2261.9,NA,NA,NA,2284.1,NA,2284.1,5765.1,10392.655,24713.78
"139","Sunset Hill",4,"feeders",4.55,3048,2362,NA,NA,NA,686,NA,686,5765.1,3121.3,24713.78
"140","Underhill",1,"feeders",4.41,5022,2731.1,NA,NA,NA,2290.9,NA,2290.9,2374.9,10102.869,10473.309
"141","Underhill",2,"feeders",4.41,2516,2432,NA,NA,NA,84,NA,84,2374.9,370.44,10473.309
"142","Underhill Veg Perimeter",1,"hay",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"143","Underhill Wet Meadow",1,"hay",8,NA,NA,6002,2782,NA,NA,3220,3220,3220,25760,25760
"144","Underhill Wet Meadow",2,NA,6.9,3219,NA,NA,NA,NA,NA,NA,0,3220,0,25760
"145","Underhill Wet Meadow",3,"feeders",6.9,3219,NA,NA,NA,NA,NA,NA,0,3220,0,25760
"146","Upper Triangle",1,"hay",4,NA,NA,3170.4,2696.4,NA,NA,474,474,1353,1896,5719.65
"147","Upper Triangle",2,"feeders",4.35,3155,2276,NA,NA,NA,879,NA,879,1353,3823.65,5719.65
"148","White Cottage",1,"hay",2,NA,NA,2838,1653.6,NA,NA,1184.4,1184.4,1184.4,2368.8,2368.8
"149","Williams 1A",1,"hay",3,NA,NA,2759.6,3002.5,NA,NA,-242.9,0,726.8,0,3634
"150","Williams 1A",2,"hay",5,NA,NA,2633.2,1906.4,NA,NA,726.8,726.8,726.8,3634,3634
"151","Williams 1a",1,"hay",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"152","Williams West",1,"hay",5,NA,NA,4196,NA,NA,NA,NA,0,924,0,6468
"153","Williams West",2,"hay",5,NA,NA,NA,3028.2,NA,NA,NA,0,924,0,6468
"154","Williams West",3,"hay",7,NA,NA,3776,2852,NA,NA,924,924,924,6468,6468
"155","Williams West",4,"feeders",8.77,3202,NA,NA,NA,NA,NA,NA,0,924,0,6468
"156","Williams West",5,NA,8.77,NA,NA,NA,NA,NA,NA,NA,0,924,0,6468
"157","Wilson",1,"hay",5,NA,NA,4518,2412,NA,NA,2106,2106,5459.4,10530,20590.2
"158","Wilson",2,"hay",3,NA,NA,5876,2522.6,NA,NA,3353.4,3353.4,5459.4,10060.2,20590.2
"159","Wilson",3,"feeders",4,3258,NA,NA,NA,NA,NA,NA,0,5459.4,0,20590.2
"160","Wilson Wet",1,"hay",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
